DeliveryDate,HourEnding,North,South,West,Houston,SystemTotal,DSTFlag    
05/03/2025,1:00,12501.911467797846201,11298.039071630859375,8727.628591625974424,11280.1209421875,43807.70007324218,N
05/03/2025,2:00,12129.196059936522482,10801.379568029786024,8665.931251721193994,10975.6721974609375,42572.17907714844,N
05/03/2025,3:00,12072.287260400385491,10356.642082104493923,8542.650162182618086,10951.7296994140625,41923.30920410156,N
05/03/2025,4:00,11636.493593701166875,10126.34690771484875,7939.790772021484375,10668.8589609375,40371.490234375,N
05/03/2025,5:00,11220.085786706544038,9762.381386962895625,8459.663884045409087,10622.73930361328125,40064.87036132813,N
05/03/2025,6:00,11568.750343200682297,9897.012438598631077,8005.539436267087876,10402.53738154296875,39873.83959960937,N
05/03/2025,7:00,11759.105037597659339,10139.949377563478298,8793.939322631841113,10650.94669189453125,41343.94042968751,N
05/03/2025,8:00,12240.132804223637585,10319.200400366214202,8760.107449121090713,10698.9804888671875,42018.42114257813,N
05/03/2025,9:00,13118.533746850578076,11172.483265283208125,9965.688204077146299,11219.2940513671875,45475.99926757812,N
05/03/2025,10:00,13798.01395673827875,11878.7767666015625,10369.399525390625,12191.92999052734375,48238.12023925781,N
05/03/2025,11:00,13732.32771412353277,11659.724155236822274,9420.476086889649956,12193.141721484375,47005.66967773438,N
05/03/2025,12:00,13564.993368237308732,11361.820414367676649,9171.840077160647119,12882.8760474609375,46981.52990722657,N
05/03/2025,13:00,14026.03309660644804,11908.711779077145173,9203.520543945315537,12803.67439970703125,47941.93981933594,N
05/03/2025,14:00,14258.187078894050944,12246.747904162598524,9265.044070068363032,13308.0110591796875,49077.9901123047,N
05/03/2025,15:00,14573.038035510255203,12978.157664721681423,9542.469587756349624,13450.33397958984375,50543.99926757813,N
05/03/2025,16:00,14593.624977783203125,13433.6111939453125,9445.639935595703125,13648.80406845703125,51121.68017578125,N
05/03/2025,17:00,15303.480326391605607,13853.057025646973524,9388.423164758303369,14013.2783748046875,52558.23889160157,N
05/03/2025,18:00,15588.583740771487009,14075.089038793943577,9502.896448461913164,14273.62022509765625,53440.189453125,N
05/03/2025,19:00,15757.10395081787098,13928.815164733885851,9405.978307006834419,14107.14273857421875,53199.04016113281,N
05/03/2025,20:00,15336.974383007811317,13471.282849108880851,9140.244934680175332,13533.4879455078125,51481.99011230468,N
05/03/2025,21:00,14831.506883398433683,13116.155087707525399,8847.477909362793418,13095.3292357421875,49890.46911621094,N
05/03/2025,22:00,14380.297267590332145,12697.605734338379774,8752.366409497071831,12613.50097431640625,48443.77038574219,N
